KECAMATAN,Shape_Leng,Shape_Area,JUMLAH_PEN,LUAS_Ha_,Kep_pend,X,Y,AREA_GEO,PERIM_GEO,CENTROID_X,CENTROID_Y,CENTROID_Z,CENTROID_M,INSIDE_X,INSIDE_Y,INSIDE_Z,INSIDE_M,START_X,START_Y,START_Z,START_M,MID_X,MID_Y,MID_Z,MID_M,END_X,END_Y,END_Z,END_M,PART_COUNT,PNT_COUNT,EXT_MIN_X,EXT_MIN_Y,EXT_MAX_X,EXT_MAX_Y
BANJARWANGI,0.53941154091,0.01007907897,58190.00000000000,123.82000000000,469.95638830600,107.88130774800,-7.40315153595,123056576.49400000000,59603.10345680000,107.88247769700,-7.40564483611,0.00000000000,0.00000000000,107.88247769700,-7.40564483611,0.00000000000,0.00000000000,107.90454194500,-7.36047451049,0.00000000000,0.00000000000,107.85945866700,-7.45491657303,0.00000000000,0.00000000000,107.85735000000,-7.39823999928,0.00000000000,0.00000000000,1.00000000000,1653.00000000000,107.80918048200,-7.47874647157,107.95109511500,-7.32257000001
BANYURESMI,0.49550810895,0.00394345152,92530.00000000000,47.88000000000,1932.53968254000,107.92963416800,-7.15108180015,48172619.27790000000,54762.41844050000,107.93423647200,-7.15131793631,0.00000000000,0.00000000000,107.92503186300,-7.16802225600,0.00000000000,0.00000000000,107.94707544400,-7.11099708005,0.00000000000,0.00000000000,107.90519754200,-7.18062805103,0.00000000000,0.00000000000,107.94707544400,-7.11099708005,0.00000000000,0.00000000000,1.00000000000,1499.00000000000,107.86756012000,-7.19082000014,107.98250360600,-7.11087132785
BAYONGBONG,0.35818578836,0.00371703565,104820.00000000000,47.63000000000,2200.71383582000,107.84415842500,-7.27528356656,45394772.57240000000,39585.33451250000,107.84443067300,-7.27404595620,0.00000000000,0.00000000000,107.84443067300,-7.27404595620,0.00000000000,0.00000000000,107.85708122600,-7.23800359499,0.00000000000,0.00000000000,107.81689496300,-7.28941245281,0.00000000000,0.00000000000,107.82897071100,-7.26234276770,0.00000000000,0.00000000000,1.00000000000,1209.00000000000,107.80852973600,-7.32283999987,107.87924262000,-7.23020235396
BL. LIMBANGAN,0.53264573877,0.00701525982,79130.00000000000,73.59000000000,1075.28196766000,107.95633635900,-7.00119392215,85723741.40750000000,58878.82808560000,107.95187075500,-7.00550695186,0.00000000000,0.00000000000,107.95187075500,-7.00550695186,0.00000000000,0.00000000000,107.92594382200,-6.94862154295,0.00000000000,0.00000000000,108.00446796900,-7.04528148533,0.00000000000,0.00000000000,107.92594382200,-6.94862154295,0.00000000000,0.00000000000,1.00000000000,2080.00000000000,107.88938150800,-7.04805999977,108.03222242000,-6.94570178511
BUNGBULANG,0.90363082660,0.01398489979,58480.00000000000,146.98000000000,397.87726221300,107.58093383900,-7.43134186010,170731633.68800000000,99871.77499780000,107.58982204800,-7.43600022045,0.00000000000,0.00000000000,107.58982204800,-7.43600022045,0.00000000000,0.00000000000,107.62783823400,-7.29876635468,0.00000000000,0.00000000000,107.55944928100,-7.50377760116,0.00000000000,0.00000000000,107.60750000100,-7.48797999988,0.00000000000,0.00000000000,1.00000000000,2872.00000000000,107.49476125900,-7.55474000015,107.64933000000,-7.29862699934
CARINGIN,0.66313263585,0.00938104124,32550.00000000000,99.03000000000,328.68827628000,107.50378456800,-7.45805424257,114519247.16500000000,73269.01257830000,107.49593910800,-7.46433848506,0.00000000000,0.00000000000,107.49593910800,-7.46433848506,0.00000000000,0.00000000000,107.49555947300,-7.53491027459,0.00000000000,0.00000000000,107.54214347700,-7.41254936480,0.00000000000,0.00000000000,107.49555947300,-7.53491027459,0.00000000000,0.00000000000,1.00000000000,2360.00000000000,107.42025005300,-7.53910000016,107.60301000100,-7.36444000001
CIBALONG,0.71513013779,0.01767506477,45400.00000000000,213.59000000000,212.55676763900,107.84309324700,-7.66170738298,215672417.56200000000,78984.63962320000,107.85105688600,-7.66215411191,0.00000000000,0.00000000000,107.85105688600,-7.66215411191,0.00000000000,0.00000000000,107.91698578000,-7.59700916964,0.00000000000,0.00000000000,107.79398819100,-7.68309957535,0.00000000000,0.00000000000,107.91698578000,-7.59700916964,0.00000000000,0.00000000000,1.00000000000,1778.00000000000,107.73899999800,-7.74014130947,107.93125921800,-7.58237999864
CIBATU,0.36321689754,0.00319528433,74940.00000000000,41.43000000000,1808.83417813000,107.99858330400,-7.08369978804,39038581.70700000000,40147.16349290000,107.99841420600,-7.08537957640,0.00000000000,0.00000000000,107.99841420600,-7.08537957640,0.00000000000,0.00000000000,107.99932994500,-7.04570661787,0.00000000000,0.00000000000,107.97985474900,-7.11952598531,0.00000000000,0.00000000000,107.99932994500,-7.04570661787,0.00000000000,0.00000000000,1.00000000000,1530.00000000000,107.95930000000,-7.12203999935,108.03820480200,-7.04200000000
CIBIUK,0.22318318600,0.00179625553,35490.00000000000,19.90000000000,1783.41708543000,107.95453517100,-7.06476927599,21946844.51160000000,24670.05522220000,107.95529730500,-7.06416355232,0.00000000000,0.00000000000,107.95529730500,-7.06416355232,0.00000000000,0.00000000000,107.94621000000,-7.04284499760,0.00000000000,0.00000000000,107.96699072000,-7.08395294761,0.00000000000,0.00000000000,107.94621000000,-7.04284499760,0.00000000000,0.00000000000,1.00000000000,874.00000000000,107.92576607500,-7.09208999955,107.98178000000,-7.03865999976
CIGEDUG,0.27732873991,0.00261586218,44640.00000000000,31.20000000000,1430.76923077000,107.82719953500,-7.32683778976,31942766.16670000000,30646.92973040000,107.82504744100,-7.32847467042,0.00000000000,0.00000000000,107.82504744100,-7.32847467042,0.00000000000,0.00000000000,107.85987000100,-7.32257000001,0.00000000000,0.00000000000,107.80182254300,-7.32801414653,0.00000000000,0.00000000000,107.85987000100,-7.32257000001,0.00000000000,0.00000000000,1.00000000000,1182.00000000000,107.79883325600,-7.36518759113,107.85987000100,-7.28521422705
CIHURIP,0.31365078748,0.00384847234,18880.00000000000,40.42000000000,467.09549727900,107.84488279300,-7.50840518651,46975882.72240000000,34653.52071860000,107.84723728500,-7.50652983671,0.00000000000,0.00000000000,107.84723728500,-7.50652983671,0.00000000000,0.00000000000,107.85497831900,-7.47462586429,0.00000000000,0.00000000000,107.84074898200,-7.53515347219,0.00000000000,0.00000000000,107.85497831900,-7.47462586429,0.00000000000,0.00000000000,1.00000000000,886.00000000000,107.80344000000,-7.55040107255,107.88161660000,-7.47016000008
CIKAJANG,0.77761772678,0.00889101816,85230.00000000000,124.95000000000,682.11284513800,107.79647830400,-7.40321207507,108552758.32500000000,85926.00692060000,107.80033719800,-7.40000253617,0.00000000000,0.00000000000,107.80033719800,-7.40000253617,0.00000000000,0.00000000000,107.79642631600,-7.35422236427,0.00000000000,0.00000000000,107.84880840900,-7.47644821060,0.00000000000,0.00000000000,107.79642631600,-7.35422236427,0.00000000000,0.00000000000,1.00000000000,2750.00000000000,107.72436866400,-7.48202298777,107.86087015400,-7.33082024016
CIKELET,0.64885410443,0.01443808270,45280.00000000000,172.32000000000,262.76694521800,107.69705161600,-7.55944070157,176218125.90000000000,71688.28765200000,107.69644693500,-7.55309407926,0.00000000000,0.00000000000,107.69644693500,-7.55309407926,0.00000000000,0.00000000000,107.77623972000,-7.46762000166,0.00000000000,0.00000000000,107.66385261200,-7.61874033312,0.00000000000,0.00000000000,107.77623972000,-7.46762000166,0.00000000000,0.00000000000,1.00000000000,1856.00000000000,107.61778259200,-7.66395464609,107.77753000000,-7.46762000166
CILAWU,0.48777320852,7980.97340488000,109440.00000000000,77.63000000000,1409.76426639000,107.90342779600,-7.29739886639,79671223.77660000000,53905.91082620000,107.89933059200,-7.29988033976,0.00000000000,0.00000000000,107.89933059200,-7.29988033976,0.00000000000,0.00000000000,107.90446478700,-7.36073806941,0.00000000000,0.00000000000,107.90445894200,-7.36075583551,0.00000000000,0.00000000000,107.90994962400,-7.23916986550,0.00000000000,0.00000000000,2.00000000000,2076.00000000000,107.85987000100,-7.36077478603,107.95518000000,-7.22906000002
CISEWU,0.64896826208,0.01315091158,33540.00000000000,172.83000000000,194.06353063700,107.52144561500,-7.37917016729,160570847.85100000000,71708.61939040000,107.52322232000,-7.37756533447,0.00000000000,0.00000000000,107.52322232000,-7.37756533447,0.00000000000,0.00000000000,107.51517000000,-7.30951999985,0.00000000000,0.00000000000,107.51595285400,-7.42479428698,0.00000000000,0.00000000000,107.48258471300,-7.40726291715,0.00000000000,0.00000000000,1.00000000000,2452.00000000000,107.42756781800,-7.45413000010,107.61177000000,-7.30742000013
CISOMPET,0.67872724736,0.01416748326,53400.00000000000,172.25000000000,310.01451378800,107.81350037100,-7.54613829739,172914616.73500000000,74982.96407030000,107.80801068400,-7.55522164260,0.00000000000,0.00000000000,107.80801068400,-7.55522164260,0.00000000000,0.00000000000,107.80705393100,-7.48049184972,0.00000000000,0.00000000000,107.78110133300,-7.60110544533,0.00000000000,0.00000000000,107.82094956800,-7.54162795307,0.00000000000,0.00000000000,1.00000000000,1919.00000000000,107.73541011600,-7.62451990497,107.90257000000,-7.44958999938
CISURUPAN,0.48351585684,0.00747210348,99420.00000000000,80.88000000000,1229.22848665000,107.76590316200,-7.30804674963,91247826.62950000000,53428.54971630000,107.76652896100,-7.30523933042,0.00000000000,0.00000000000,107.76652896100,-7.30523933042,0.00000000000,0.00000000000,107.75722465000,-7.25516292673,0.00000000000,0.00000000000,107.78865016200,-7.35569015662,0.00000000000,0.00000000000,107.80201630000,-7.31274334363,0.00000000000,0.00000000000,1.00000000000,1610.00000000000,107.71570000000,-7.36807299937,107.81485472300,-7.25363533830
GARUT KOTA,0.39403999416,0.00245696753,127980.00000000000,27.71000000000,4618.54926019000,107.92986159600,-7.23852738941,30007905.65440000000,43547.62135050000,107.92656319200,-7.24516478005,0.00000000000,0.00000000000,107.92656319200,-7.24516478005,0.00000000000,0.00000000000,107.91837813800,-7.18570581377,0.00000000000,0.00000000000,107.92364356100,-7.27501979041,0.00000000000,0.00000000000,107.91494401300,-7.22105716336,0.00000000000,0.00000000000,1.00000000000,1533.00000000000,107.89198000000,-7.27860999895,107.97434000100,-7.18516999860
KADUNGORA,0.31282597241,0.00318691803,93520.00000000000,37.31000000000,2506.56660413000,107.89476641300,-7.07529263016,38937313.21160000000,34574.55875930000,107.89503438500,-7.07386878084,0.00000000000,0.00000000000,107.89503438500,-7.07386878084,0.00000000000,0.00000000000,107.89605721300,-7.05435969674,0.00000000000,0.00000000000,107.89304384700,-7.09625570761,0.00000000000,0.00000000000,107.92332007200,-7.07583999932,0.00000000000,0.00000000000,1.00000000000,1171.00000000000,107.84645688000,-7.10429842583,107.94254000100,-7.04913453313
KARANGPAWITAN,0.34844450082,0.00450054040,140030.00000000000,52.07000000000,2689.26445170000,107.95434738800,-7.22187917345,54969734.75290000000,38510.06512280000,107.95416070500,-7.22091964321,0.00000000000,0.00000000000,107.95416070500,-7.22091964321,0.00000000000,0.00000000000,107.96365376000,-7.17223316643,0.00000000000,0.00000000000,107.95608838800,-7.25871268658,0.00000000000,0.00000000000,107.93883192600,-7.21296691439,0.00000000000,0.00000000000,1.00000000000,1330.00000000000,107.91359230300,-7.27382069897,107.99547584000,-7.17185670842
